"","X","data_listing_id","data_title","data_display_title","data_url","data_installment","data_image_src","data_compare_image","data_make","data_model","data_year","data_mileage","data_transmission","data_ad_type","data_variant","data_seller_id","data_profile_id","data_listing_trusted","data_dealer_isverified","data_view_store","data_country_code","data_vehicle_type","listing_price","listing_rating"
"953",953,10635530,"2022 Peugeot 3008 1.6 THP Allure SUV","2022 Peugeot 3008 1.6 THP Allure SUV","https://www.carlist.my/new-cars/2022-peugeot-3008-1-6-thp-allure-suv/10635530","2193","https://img1.icarcdn.com/03553601/main-m_new-car-carlist-peugeot-3008-thp-allure-suv-malaysia_000003553601_a5a8d442_ebc1_41a0_bf1e_f485d86e719e.jpg.webp?smia=xTM","https://img1.icarcdn.com/03553601/thumb-l_new-car-carlist-peugeot-3008-thp-allure-suv-malaysia_000003553601_a5a8d442_ebc1_41a0_bf1e_f485d86e719e.jpg.webp?smia=xTM","Peugeot","3008",2022,0,"Automatic","New","THP Allure","871117d6-4824-e411-94ae-06e4185eac05","8a1117d6-4824-e411-94ae-06e4185eac05","false","ʉʏʈʘ","false","my","car","169188",4.1
"954",954,9303882,"2022 Proton Saga 1.3 Standard Sedan **Short Waiting Period** - BOOK NOW","2022 Proton Saga 1.3 Standard Sedan","https://www.carlist.my/new-cars/2022-proton-saga-1-3-standard-sedan-short-waiting-period-book-now/9303882","451","https://img1.icarcdn.com/2883039/main-m_new-car-carlist-proton-saga-standard-sedan-malaysia_000002883039_9392bd15_6abd_4feb_ac99_5f36d6bad61e.jpeg.webp?smia=xTM","https://img1.icarcdn.com/2883039/thumb-l_new-car-carlist-proton-saga-standard-sedan-malaysia_000002883039_9392bd15_6abd_4feb_ac99_5f36d6bad61e.jpeg.webp?smia=xTM","Proton","Saga",2022,0,"Automatic","New","Standard","714aef26-0381-446c-bf4a-97bff95fe2e2","10f77fef-8953-496c-9259-1dceff5cbdde","false","ʉʏʈʘ","false","my","car","34800",3.9
"955",955,9151436,"2022 Honda BR-V 1.5 V i-VTEC SUV **9xxx CASH REBATES** - Book NOW (Your Honda Sales Advisor)","2022 Honda BR-V 1.5 V i-VTEC SUV","https://www.carlist.my/new-cars/2022-honda-br-v-1-5-v-i-vtec-suv-9xxx-cash-rebates-book-now-your-honda-sales-advisor/9151436","1150","https://img1.icarcdn.com/6341519/main-m_new-car-carlist-honda-br-v-e-i-vtec-suv-malaysia_000006341519_d8df4e42_6290_4730_99cb_f1b0a7e71a84.jpeg.webp?smia=xTM","https://img1.icarcdn.com/6341519/thumb-l_new-car-carlist-honda-br-v-e-i-vtec-suv-malaysia_000006341519_d8df4e42_6290_4730_99cb_f1b0a7e71a84.jpeg.webp?smia=xTM","Honda","BR-V",2022,0,"Automatic","New","V i-VTEC","80990c3b-14cd-4164-86d0-2b2855877aa4","a77f5452-58ef-4197-ad16-09e5d6bb234c","false","ʉʏʈʘ","false","my","car","88700",4.3
"956",956,10895678,"2022 Ford Ranger 2.0 XL Pickup Truck","2022 Ford Ranger 2.0 XL Pickup Truck","https://www.carlist.my/new-cars/2022-ford-ranger-2-0-xl-pickup-truck/10895678","1465","https://img1.icarcdn.com/87659801/main-m_new-car-carlist-ford-ranger-xl-pickup-truck-malaysia_000087659801_7785c152_e651_456a_9ad9_be775637cd60.jpg.webp?smia=xTM","https://img1.icarcdn.com/87659801/thumb-l_new-car-carlist-ford-ranger-xl-pickup-truck-malaysia_000087659801_7785c152_e651_456a_9ad9_be775637cd60.jpg.webp?smia=xTM","Ford","Ranger",2022,0,"Automatic","New","XL","a720bb7b-b946-4034-8d27-04a817572f35","667a5275-057e-4523-9318-f5a9d2772668","true","ʉʏʈʘ","true","my","car","113000",4.4
"957",957,8681911,"2022 Mitsubishi Xpander 1.5 MPV PROMO TERBAIK","2022 Mitsubishi Xpander 1.5 MPV","https://www.carlist.my/new-cars/2022-mitsubishi-xpander-1-5-mpv-promo-terbaik/8681911","1296","https://img1.icarcdn.com/1191868/main-m_new-car-carlist-mitsubishi-xpander-mpv-malaysia_000001191868_a3996f61_41f3_410b_921d_1f25bc55f094.jpg.webp?smia=xTM","https://img1.icarcdn.com/1191868/thumb-l_new-car-carlist-mitsubishi-xpander-mpv-malaysia_000001191868_a3996f61_41f3_410b_921d_1f25bc55f094.jpg.webp?smia=xTM","Mitsubishi","Xpander",2022,0,"Automatic","New","","4b4b1b23-4deb-e311-94af-0261ba99cd9c","2d01608f-69eb-e311-94af-0261ba99cd9c","false","ʉʏʈʘ","false","my","car","99980",NA
"958",958,10165561,"Mitsubishi Triton 2.4 VGT Pickup Truck","2022 Mitsubishi Triton 2.4 VGT Pickup Truck","https://www.carlist.my/new-cars/mitsubishi-triton-2-4-vgt-pickup-truck/10165561","1338","https://img1.icarcdn.com/16556101/main-m_new-car-carlist-mitsubishi-triton-vgt-pickup-truck-malaysia_000016556101_19d414c8_9900_4821_b447_ec8d77e79329.jpeg.webp?smia=xTM","https://img1.icarcdn.com/16556101/thumb-l_new-car-carlist-mitsubishi-triton-vgt-pickup-truck-malaysia_000016556101_19d414c8_9900_4821_b447_ec8d77e79329.jpeg.webp?smia=xTM","Mitsubishi","Triton",2022,0,"Manual","New","VGT","a55fc96f-e69f-e511-94b7-0261ba99cd9c","a85fc96f-e69f-e511-94b7-0261ba99cd9c","false","ʉʏʈʘ","false","my","car","103200",4.8
"959",959,10892573,"2022 Volkswagen Golf 2.0 GTi Hatchback","2022 Volkswagen Golf 2.0 GTi Hatchback","https://www.carlist.my/new-cars/2022-volkswagen-golf-2-0-gti-hatchback/10892573","2917","https://img1.icarcdn.com/37529801/main-m_new-car-carlist-volkswagen-golf-gti-hatchback-malaysia_000037529801_859ae516_e3d6_48f5_9d91_bad3c25605b6.JPG.webp?smia=xTM","https://img1.icarcdn.com/37529801/thumb-l_new-car-carlist-volkswagen-golf-gti-hatchback-malaysia_000037529801_859ae516_e3d6_48f5_9d91_bad3c25605b6.JPG.webp?smia=xTM","Volkswagen","Golf",2022,0,"Automatic","New","GTi","ba0eed34-7d36-4cb8-9889-ffdda953aec5","1e45ac9e-71dd-4bb6-8dae-82d3fd14d562","false","ʉʏʈʘ","false","my","car","225000",4.4
"960",960,7909727,"2022 New Honda BR-V 1.5 i-VTEC (A) New Year Cash Back","2021 Honda BR-V 1.5 V i-VTEC SUV","https://www.carlist.my/new-cars/2022-new-honda-br-v-1-5-i-vtec-a-new-year-cash-back/7909727","1037","https://img1.icarcdn.com/7279097/main-m_new-car-carlist-honda-br-v-v-i-vtec-suv-malaysia_fae2e8d6e167187950c4b2c5c29a2581_ac5724b5_f503_47ce_9033_8bb739e95dfe_000007279097_a5613434_a302_4f91_9db4_ff1fd5091b98.jpeg?smia=xTM","https://img1.icarcdn.com/7279097/thumb-l_new-car-carlist-honda-br-v-v-i-vtec-suv-malaysia_fae2e8d6e167187950c4b2c5c29a2581_ac5724b5_f503_47ce_9033_8bb739e95dfe_000007279097_a5613434_a302_4f91_9db4_ff1fd5091b98.jpeg?smia=xTM","Honda","BR-V",2021,0,"Automatic","New","V i-VTEC","1852a92c-5c2b-4c05-9781-761e6d8e2eaf","08c21132-b9fa-4146-ae17-1f4824f86871","true","ʉʏʈʘ","true","my","car","80000",4.3
"961",961,9898112,"2022 Perodua Aruz 1.5 AV SUV (A)","2022 Perodua Aruz 1.5 AV SUV","https://www.carlist.my/new-cars/2022-perodua-aruz-1-5-av-suv-a/9898112","1006","https://img1.icarcdn.com/2118989/main-m_new-car-carlist-perodua-aruz-av-suv-malaysia_000002118989_cf9957ee_25a0_47de_8879_abde81765c7d.jpg.webp?smia=xTM","https://img1.icarcdn.com/2118989/thumb-l_new-car-carlist-perodua-aruz-av-suv-malaysia_000002118989_cf9957ee_25a0_47de_8879_abde81765c7d.jpg.webp?smia=xTM","Perodua","Aruz",2022,0,"Automatic","New","AV","ea454887-8bb8-4632-8ed4-a15076838f57","284c3520-6b76-486f-8f18-a8eb722b64bd","false","ʉʏʈʘ","false","my","car","77580",3.9
"962",962,10854879,"2022 Proton X50 1.5 FLAGSHIP PRE REGISTER/  PRICE AS ADVERTISED / MILEAGE 0000KM / NUMBER PLATE CAN CHOOSE / LIMITED STOCK / PLS CALL NOW","2022 Proton X50 1.5 TGDI Flagship SUV","https://www.carlist.my/new-cars/2022-proton-x50-1-5-flagship-pre-register-price-as-advertised-mileage-0000km-number-plate-can-choose-limited-stock-pls-call-now/10854879","1391","https://img1.icarcdn.com/97845801/main-m_new-car-carlist-proton-x50-tgdi-flagship-suv-malaysia_000097845801_b1a775a9_32d4_4cbb_8bcc_6e0425a5cabb.png.webp?smia=xTM","https://img1.icarcdn.com/97845801/thumb-l_new-car-carlist-proton-x50-tgdi-flagship-suv-malaysia_000097845801_b1a775a9_32d4_4cbb_8bcc_6e0425a5cabb.png.webp?smia=xTM","Proton","X50",2022,0,"Automatic","New","TGDI Flagship","b04cea60-e5a3-4bd5-9b03-1b5ef655cc44","99aad5c2-dcb5-4417-bc78-ce1344d7e058","true","ʉʏʈʘ","true","my","car","107300",NA
"963",963,10652247,"2022 Proton Iriz 1.3 Standard Hatchback","2022 Proton Iriz 1.3 Standard Hatchback","https://www.carlist.my/new-cars/2022-proton-iriz-1-3-standard-hatchback/10652247","555","https://img1.icarcdn.com/74225601/main-m_new-car-carlist-proton-iriz-standard-hatchback-malaysia_000074225601_4b351254_8cfe_4b7e_875a_7df60626e51b.jpeg.webp?smia=xTM","https://img1.icarcdn.com/74225601/thumb-l_new-car-carlist-proton-iriz-standard-hatchback-malaysia_000074225601_4b351254_8cfe_4b7e_875a_7df60626e51b.jpeg.webp?smia=xTM","Proton","Iriz",2022,0,"Automatic","New","Standard","a5a90b91-3889-42b9-820e-ce4d9304d3db","12909cfa-fd5d-42ae-ba1a-86b745956b53","true","ʉʏʈʘ","true","my","car","42800",3.9
"964",964,10644754,"2022 Honda CR-V 2.0 i-VTEC SUV **5xxx Rebates** - Call Now to Book this Car","2022 Honda CR-V 2.0 i-VTEC SUV","https://www.carlist.my/new-cars/2022-honda-cr-v-2-0-i-vtec-suv-5xxx-rebates-call-now-to-book-this-car/10644754","1840","https://img1.icarcdn.com/45744601/main-m_new-car-carlist-honda-cr-v-i-vtec-suv-malaysia_000045744601_e23181f4_d2ca_45c3_85a4_94cfacfbec73.jpeg.webp?smia=xTM","https://img1.icarcdn.com/45744601/thumb-l_new-car-carlist-honda-cr-v-i-vtec-suv-malaysia_000045744601_e23181f4_d2ca_45c3_85a4_94cfacfbec73.jpeg.webp?smia=xTM","Honda","CR-V",2022,0,"Automatic","New","i-VTEC","0239a87f-185f-40d7-96c1-577a23382252","dea94362-6914-4d58-b318-193c0b84fea6","false","ʉʏʈʘ","false","my","car","141900",4.4
"965",965,10892220,"2022 TESLA Model Y Standard Range Japan Spec New Car for sale","2022 TESLA Model Y Standard Range HK SUV","https://www.carlist.my/new-cars/2022-tesla-model-y-standard-range-japan-spec-new-car-for-sale/10892220","4252","https://img1.icarcdn.com/02229801/main-m_new-car-carlist-tesla-model-y-standard-range-hk-suv-malaysia_000002229801_122848a0_f5d7_42a7_8c22_521fd7cca30f.jpg.webp?smia=xTM","https://img1.icarcdn.com/02229801/thumb-l_new-car-carlist-tesla-model-y-standard-range-hk-suv-malaysia_000002229801_122848a0_f5d7_42a7_8c22_521fd7cca30f.jpg.webp?smia=xTM","TESLA","Model Y",2022,0,"Automatic","New","Standard Range HK","e79d9e3c-831d-411c-82a3-43be6ba011f2","47bfaec4-e24b-45f0-949e-76d06124aae7","true","ʉʏʈʘ","true","my","car","328000",NA
"966",966,7329463,"2022 Mazda CX-8 2.5 SKYACTIV-G Mid SUV","2022 Mazda CX-8 2.5 SKYACTIV-G Mid SUV","https://www.carlist.my/new-cars/2022-mazda-cx-8-2-5-skyactiv-g-mid-suv/7329463","2269","https://img1.icarcdn.com/3649237/main-m_new-car-carlist-mazda-cx-8-skyactiv-g-mid-suv-malaysia_000003649237_ad9ab51a_71d9_462e_85e0_9525e32e84f9.jpeg?smia=xTM","https://img1.icarcdn.com/3649237/thumb-l_new-car-carlist-mazda-cx-8-skyactiv-g-mid-suv-malaysia_000003649237_ad9ab51a_71d9_462e_85e0_9525e32e84f9.jpeg?smia=xTM","Mazda","CX-8",2022,0,"Automatic","New","SKYACTIV-G Mid","190641c3-d6f8-e511-94c3-06e4185eac05","1d0641c3-d6f8-e511-94c3-06e4185eac05","true","ʉʏʈʘ","true","my","car","175000",NA
"967",967,10719534,"2022 Proton X50 1.5 TGDI Flagship SUV","2022 Proton X50 1.5 TGDI Flagship SUV","https://www.carlist.my/new-cars/2022-proton-x50-1-5-tgdi-flagship-suv/10719534","1465","https://img1.icarcdn.com/43591701/main-m_new-car-carlist-proton-x50-tgdi-flagship-suv-malaysia_000043591701_a8767b29_77b1_47a2_b4c4_e94b6e86aa98.jpg.webp?smia=xTM","https://img1.icarcdn.com/43591701/thumb-l_new-car-carlist-proton-x50-tgdi-flagship-suv-malaysia_000043591701_a8767b29_77b1_47a2_b4c4_e94b6e86aa98.jpg.webp?smia=xTM","Proton","X50",2022,0,"Automatic","New","TGDI Flagship","fc08dc8e-8953-49b7-b38d-3db53efc41ed","52e6886d-e714-4771-b339-949fd2335fb5","false","ʉʏʈʘ","false","my","car","113000",NA
"968",968,10718147,"2022 Proton X50 1.5 Standard SUV","2022 Proton X50 1.5 Standard SUV","https://www.carlist.my/new-cars/2022-proton-x50-1-5-standard-suv/10718147","1115","https://img1.icarcdn.com/74181701/main-m_new-car-carlist-proton-x50-standard-suv-malaysia_000074181701_3aea7cfe_9e82_4842_8f3b_947341bd1d47.jpg.webp?smia=xTM","https://img1.icarcdn.com/74181701/thumb-l_new-car-carlist-proton-x50-standard-suv-malaysia_000074181701_3aea7cfe_9e82_4842_8f3b_947341bd1d47.jpg.webp?smia=xTM","Proton","X50",2022,0,"Automatic","New","Standard","fc08dc8e-8953-49b7-b38d-3db53efc41ed","52e6886d-e714-4771-b339-949fd2335fb5","false","ʉʏʈʘ","false","my","car","86000",NA
"969",969,10476307,"Brand New Toyota Alphard 3.5","2022 Toyota Alphard 3.5 MPV","https://www.carlist.my/new-cars/brand-new-toyota-alphard-3-5/10476307","5980","https://img1.icarcdn.com/70367401/main-m_new-car-carlist-toyota-alphard-mpv-malaysia_000070367401_d990f24c_6595_425e_84c1_5c707724e497.jpg.webp?smia=xTM","https://img1.icarcdn.com/70367401/thumb-l_new-car-carlist-toyota-alphard-mpv-malaysia_000070367401_d990f24c_6595_425e_84c1_5c707724e497.jpg.webp?smia=xTM","Toyota","Alphard",2022,1,"Automatic","New","","c0307fa9-318d-481a-b270-322010a46f3c","a8d9f803-4c49-4e86-83e5-849f6df40095","false","ʉʏʈʘ","false","my","car","461230",4.8
"970",970,10569754,"2022 Mercedes-Benz C200 1.5 Avantgarde Sedan [PRE REGISTER CAR][BELOW 100 KM][WARRANTY UNTIL OCT2026][CBU IMPORT BARU UNIT] 22","2022 Mercedes-Benz C200 1.5 Avantgarde Sedan","https://www.carlist.my/new-cars/2022-mercedes-benz-c200-1-5-avantgarde-sedan-pre-register-car-below-100-km-warranty-until-oct2026-cbu-import-baru-unit-22/10569754","3591","https://img1.icarcdn.com/45796501/main-m_new-car-carlist-mercedes-benz-c-class-c200-avantgarde-sedan-malaysia_c9dc99ab1620fa49113ebeb442c07e1d_HcKsYfINYfFsuZTE8ah7NQ_000045796501_9c5f9bc7_095d_4eba_9732_2ec543963275.jpg.webp?smia=xTM","https://img1.icarcdn.com/45796501/thumb-l_new-car-carlist-mercedes-benz-c-class-c200-avantgarde-sedan-malaysia_c9dc99ab1620fa49113ebeb442c07e1d_HcKsYfINYfFsuZTE8ah7NQ_000045796501_9c5f9bc7_095d_4eba_9732_2ec543963275.jpg.webp?smia=xTM","Mercedes-Benz","C200",2022,0,"Automatic","New","Avantgarde","d1e70c24-4beb-e311-94af-0261ba99cd9c","bfdfdc0d-66eb-e311-94af-0261ba99cd9c","true","ʉʏʈʘ","true","my","car","276999",3.9
"971",971,9566727,"2022 Proton X70 1.5 TGDI Premium SUV","2022 Proton X70 1.5 TGDI Premium SUV","https://www.carlist.my/new-cars/2022-proton-x70-1-5-tgdi-premium-suv/9566727","1217","https://img1.icarcdn.com/7276659/main-m_new-car-carlist-proton-x70-tgdi-premium-suv-malaysia_000007276659_93d29172_8447_4a3e_9834_1fdd611b1c0f.jpg.webp?smia=xTM","https://img1.icarcdn.com/7276659/thumb-l_new-car-carlist-proton-x70-tgdi-premium-suv-malaysia_000007276659_93d29172_8447_4a3e_9834_1fdd611b1c0f.jpg.webp?smia=xTM","Proton","X70",2022,0,"Automatic","New","TGDI Premium","ba6c59f8-56c5-4c93-9a4c-1c6968611dda","8bdc26ef-7187-44d9-9757-f109f7f4509c","false","ʉʏʈʘ","false","my","car","93900",4.5
"972",972,10888752,"2022 Mercedes-Benz GLC300 e 2.0 4MATIC Coupe","2022 Mercedes-Benz GLC300 e 2.0 4MATIC Coupe","https://www.carlist.my/new-cars/2022-mercedes-benz-glc300-e-2-0-4matic-coupe/10888752","5171","https://img1.icarcdn.com/25788801/main-m_new-car-carlist-mercedes-benz-glc-class-glc300-e-4matic-coupe-malaysia_000025788801_ce548b6e_8a57_45ac_884b_f14c62f00daf.jpg.webp?smia=xTM","https://img1.icarcdn.com/25788801/thumb-l_new-car-carlist-mercedes-benz-glc-class-glc300-e-4matic-coupe-malaysia_000025788801_ce548b6e_8a57_45ac_884b_f14c62f00daf.jpg.webp?smia=xTM","Mercedes-Benz","GLC300 e",2022,1,"Automatic","New","4MATIC","f6ecd599-4452-e611-94c3-06e4185eac05","faecd599-4452-e611-94c3-06e4185eac05","false","ʉʏʈʘ","false","my","car","398888",NA
"973",973,8722468,"Step Out In Style Be A Proud Owner Of Your Quality HONDA Dream Car Impress Family And Friends Book Now And Get Exclusive Accessories Worth up to RM4K","2022 Honda City 1.5 V i-VTEC Sedan","https://www.carlist.my/new-cars/step-out-in-style-be-a-proud-owner-of-your-quality-honda-dream-car-impress-family-and-friends-book-now-and-get-exclusive-accessories-worth-up-to-rm4k/8722468","942","https://img1.icarcdn.com/8642278/main-m_new-car-carlist-honda-city-v-i-vtec-sedan-malaysia_000008642278_88c30cca_a24c_46bb_831b_80130646fd68.JPG.webp?smia=xTM","https://img1.icarcdn.com/8642278/thumb-l_new-car-carlist-honda-city-v-i-vtec-sedan-malaysia_000008642278_88c30cca_a24c_46bb_831b_80130646fd68.JPG.webp?smia=xTM","Honda","City",2022,0,"Automatic","New","V i-VTEC","511ec614-8171-4b94-8f9e-446597b885cd","73faf761-4b4f-405c-90e4-c58a9ce5950d","false","ʉʏʈʘ","false","my","car","72660",4.4
"974",974,10729817,"2022 Subaru BRZ 2.4 Coupe","2022 Subaru BRZ 2.4 Coupe","https://www.carlist.my/new-cars/2022-subaru-brz-2-4-coupe/10729817","3361","https://img1.icarcdn.com/71892701/main-m_new-car-carlist-subaru-brz-coupe-malaysia_000071892701_aac728d3_d8b1_4f23_b85b_e470cb2a41ef.jpg.webp?smia=xTM","https://img1.icarcdn.com/71892701/thumb-l_new-car-carlist-subaru-brz-coupe-malaysia_000071892701_aac728d3_d8b1_4f23_b85b_e470cb2a41ef.jpg.webp?smia=xTM","Subaru","BRZ",2022,0,"Automatic","New","","b8f748b0-52ff-4f6f-973b-f3e21c532bd2","af809868-03d6-4fde-bf9a-348e1fdc5670","false","ʉʏʈʘ","false","my","car","259245",5
"975",975,8965706,"2022 Mitsubishi Triton 2.4 VGT Pickup Truck AUTO 4X4 BIG-BIG SALES","2022 Mitsubishi Triton 2.4 VGT Pickup Truck","https://www.carlist.my/new-cars/2022-mitsubishi-triton-2-4-vgt-pickup-truck-auto-4x4-big-big-sales/8965706","1387","https://img1.icarcdn.com/6075698/main-m_new-car-carlist-mitsubishi-triton-vgt-pickup-truck-malaysia_000006075698_4a1f09ba_41fa_4a3f_aae7_57217a61eddf.jpeg.webp?smia=xTM","https://img1.icarcdn.com/6075698/thumb-l_new-car-carlist-mitsubishi-triton-vgt-pickup-truck-malaysia_000006075698_4a1f09ba_41fa_4a3f_aae7_57217a61eddf.jpeg.webp?smia=xTM","Mitsubishi","Triton",2022,0,"Automatic","New","VGT","379e6f72-7a50-4134-b2c4-bb11d24fc8ab","c295da76-6233-46aa-8b70-9a185f691cdc","false","ʉʏʈʘ","false","my","car","106990",4.8
"976",976,8451015,"ALL NEW MAZDA BT 50 BEST DEALS ( Low D/P )","2021 Mazda BT-50 1.9 Mid Pickup Truck","https://www.carlist.my/new-cars/all-new-mazda-bt-50-best-deals-low-d-p/8451015","1608","https://img1.icarcdn.com/5101548/main-m_new-car-carlist-in-process-malaysia_000005101548_555828ad_107c_4be7_9515_a8f9c2212423.jpeg.webp?smia=xTM","https://img1.icarcdn.com/5101548/thumb-l_new-car-carlist-in-process-malaysia_000005101548_555828ad_107c_4be7_9515_a8f9c2212423.jpeg.webp?smia=xTM","Mazda","BT-50",2021,0,"Automatic","New","Mid","27984e03-3db2-4c5d-8a3f-406e3a37c657","6a632c3c-b4b4-4de4-8323-f60da9deb63d","false","ʉʏʈʘ","false","my","car","124000",4
"977",977,10363039,"KIA CARNIVAL 7 seat ( Low D/Payment )","2022 Kia Carnival 2.2 MPV","https://www.carlist.my/new-cars/kia-carnival-7-seat-low-d-payment/10363039","3410","https://img1.icarcdn.com/93036301/main-m_new-car-carlist-kia-carnival-mpv-malaysia_000093036301_19647eb5_619f_4443_a1b9_8d10759fd460.jpeg.webp?smia=xTM","https://img1.icarcdn.com/93036301/thumb-l_new-car-carlist-kia-carnival-mpv-malaysia_000093036301_19647eb5_619f_4443_a1b9_8d10759fd460.jpeg.webp?smia=xTM","Kia","Carnival",2022,0,"Automatic","New","","27984e03-3db2-4c5d-8a3f-406e3a37c657","6a632c3c-b4b4-4de4-8323-f60da9deb63d","false","ʉʏʈʘ","false","my","car","263000",4
"978",978,10363020,"ALL NEW KIA CARNIVAL 8 S Best deals","2022 Kia Carnival 2.2 Mid MPV","https://www.carlist.my/new-cars/all-new-kia-carnival-8-s-best-deals/10363020","3021","https://img1.icarcdn.com/02036301/main-m_new-car-carlist-kia-carnival-mid-mpv-malaysia_000002036301_2aa17ff2_82d7_4422_8fa2_f08a5a7d7699.jpeg.webp?smia=xTM","https://img1.icarcdn.com/02036301/thumb-l_new-car-carlist-kia-carnival-mid-mpv-malaysia_000002036301_2aa17ff2_82d7_4422_8fa2_f08a5a7d7699.jpeg.webp?smia=xTM","Kia","Carnival",2022,0,"Automatic","New","Mid","27984e03-3db2-4c5d-8a3f-406e3a37c657","6a632c3c-b4b4-4de4-8323-f60da9deb63d","false","ʉʏʈʘ","false","my","car","233000",4
"979",979,10084205,"2022 Peugeot 2008 Best Deals","2022 Peugeot 2008 1.2 Allure SUV","https://www.carlist.my/new-cars/2022-peugeot-2008-best-deals/10084205","1750","https://img1.icarcdn.com/50248001/main-m_new-car-carlist-peugeot-2008-allure-suv-malaysia_000050248001_c3a0c554_5d90_4b3e_a7e8_bc2288dcc4d3.jpeg.webp?smia=xTM","https://img1.icarcdn.com/50248001/thumb-l_new-car-carlist-peugeot-2008-allure-suv-malaysia_000050248001_c3a0c554_5d90_4b3e_a7e8_bc2288dcc4d3.jpeg.webp?smia=xTM","Peugeot","2008",2022,0,"Automatic","New","Allure","27984e03-3db2-4c5d-8a3f-406e3a37c657","6a632c3c-b4b4-4de4-8323-f60da9deb63d","false","ʉʏʈʘ","false","my","car","135000",4
"980",980,9576593,"Peoguet 2008 New Best Deals","2022 Peugeot 2008 1.2 Allure SUV","https://www.carlist.my/new-cars/peoguet-2008-new-best-deals/9576593","1750","https://img1.icarcdn.com/3956759/main-m_new-car-carlist-peugeot-2008-allure-suv-malaysia_000003956759_dee3c48b_c7b8_4b7f_84bc_8bfac3760fce.jpeg.webp?smia=xTM","https://img1.icarcdn.com/3956759/thumb-l_new-car-carlist-peugeot-2008-allure-suv-malaysia_000003956759_dee3c48b_c7b8_4b7f_84bc_8bfac3760fce.jpeg.webp?smia=xTM","Peugeot","2008",2022,0,"Automatic","New","Allure","27984e03-3db2-4c5d-8a3f-406e3a37c657","6a632c3c-b4b4-4de4-8323-f60da9deb63d","false","ʉʏʈʘ","false","my","car","135000",4
"981",981,8626540,"2022 Perodua Myvi 1.5 HARGA OTR TERBARU HARI MALAYSIA , MARI CEPAT2 BOOK","2022 Perodua Myvi 1.5 AV Hatchback","https://www.carlist.my/new-cars/2022-perodua-myvi-1-5-harga-otr-terbaru-hari-malaysia-mari-cepat2-book/8626540","647","https://img1.icarcdn.com/0456268/main-m_new-car-carlist-perodua-myvi-av-hatchback-malaysia_000000456268_5fcc8714_eb85_4112_bcb3_59dc1858b163.jpeg.webp?smia=xTM","https://img1.icarcdn.com/0456268/thumb-l_new-car-carlist-perodua-myvi-av-hatchback-malaysia_000000456268_5fcc8714_eb85_4112_bcb3_59dc1858b163.jpeg.webp?smia=xTM","Perodua","Myvi",2022,0,"Automatic","New","AV","c6d0d923-88cd-4101-9785-ad8fc1f0bcf6","cdd1dc61-87ea-41f3-b68e-e7e3a068c56b","false","ʉʏʈʘ","false","my","car","49900",4.2
"982",982,10644659,"2022 Honda City 1.5 S i-VTEC Hatchback **2xxx Rebates** - Call Now to Book this Car","2022 Honda City 1.5 S i-VTEC Hatchback","https://www.carlist.my/new-cars/2022-honda-city-1-5-s-i-vtec-hatchback-2xxx-rebates-call-now-to-book-this-car/10644659","987","https://img1.icarcdn.com/95644601/main-m_new-car-carlist-honda-city-s-i-vtec-hatchback-malaysia_000095644601_9ba2ab0d_8b04_4ef4_be5d_ffe1890e5e2a.jpeg.webp?smia=xTM","https://img1.icarcdn.com/95644601/thumb-l_new-car-carlist-honda-city-s-i-vtec-hatchback-malaysia_000095644601_9ba2ab0d_8b04_4ef4_be5d_ffe1890e5e2a.jpeg.webp?smia=xTM","Honda","City",2022,0,"Automatic","New","S i-VTEC","0239a87f-185f-40d7-96c1-577a23382252","dea94362-6914-4d58-b318-193c0b84fea6","false","ʉʏʈʘ","false","my","car","76100",4.4
"983",983,8632091,"2022 Nissan X-Trail 2.0 SUV **Exclusive Free Package just for You** - BOOK NOW","2022 Nissan X-Trail 2.0 SUV","https://www.carlist.my/new-cars/2022-nissan-x-trail-2-0-suv-exclusive-free-package-just-for-you-book-now/8632091","1775","https://img1.icarcdn.com/1902368/main-m_new-car-carlist-nissan-x-trail-suv-malaysia_000001902368_3a9000c2_6c6d_4ed8_920f_89a40548ab1f.jpeg.webp?smia=xTM","https://img1.icarcdn.com/1902368/thumb-l_new-car-carlist-nissan-x-trail-suv-malaysia_000001902368_3a9000c2_6c6d_4ed8_920f_89a40548ab1f.jpeg.webp?smia=xTM","Nissan","X-Trail",2022,0,"Automatic","New","","7d6cc225-17c8-4548-ba84-47a40a0a72a2","6091a299-d9f9-4c58-99a2-a7d20567527e","false","ʉʏʈʘ","false","my","car","136888",4.1
"984",984,10866639,"2022 Proton X50 1.5 Premium SUV **MAX LOAN & READY STOCK** - BUY NOW","2022 Proton X50 1.5 Premium SUV","https://www.carlist.my/new-cars/2022-proton-x50-1-5-premium-suv-max-loan-ready-stock-buy-now/10866639","1320","https://img1.icarcdn.com/93666801/main-m_new-car-carlist-proton-x50-premium-suv-malaysia_000093666801_34cd159b_45f6_44ad_bc5b_18cc1d90085c.jpeg.webp?smia=xTM","https://img1.icarcdn.com/93666801/thumb-l_new-car-carlist-proton-x50-premium-suv-malaysia_000093666801_34cd159b_45f6_44ad_bc5b_18cc1d90085c.jpeg.webp?smia=xTM","Proton","X50",2022,0,"Automatic","New","Premium","9aa1f268-40a2-e511-94b7-0261ba99cd9c","9ea1f268-40a2-e511-94b7-0261ba99cd9c","false","ʉʏʈʘ","false","my","car","101800",NA
